0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:47 +0200] "POST /dss-demo-webapp-5.5/services/rest/validation/validateSignature HTTP/1.1" 200 37131
127.0.0.1 - - [25/Jan/2020:00:36:31 +0200] "GET /dss-demo-webapp-5.5/services/rest/validation/validateSignature HTTP/1.1" 405 -
127.0.0.1 - - [25/Jan/2020:00:36:38 +0200] "GET /dss-demo-webapp-5.5/services/rest/validation/validateSignature HTTP/1.1" 405 -
127.0.0.1 - - [25/Jan/2020:00:36:57 +0200] "GET /diverse/eu-lotl.xml HTTP/1.1" 200 389880
127.0.0.1 - - [25/Jan/2020:01:37:05 +0200] "GET /diverse/eu-lotl.xml HTTP/1.1" 200 389880
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/sign-a-document HTTP/1.1" 200 14918
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/google-code-prettify/1.0.5/src/prettify.css HTTP/1.1" 200 1570
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery-ui/1.11.1/jquery-ui.min.css HTTP/1.1" 200 30163
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/scripts/jsSignatureLevel.js HTTP/1.1" 200 2698
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/css/dss.css HTTP/1.1" 200 9845
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/google-code-prettify/1.0.5/src/run_prettify.js HTTP/1.1" 200 79658
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery/1.11.1/jquery.min.js HTTP/1.1" 200 95821
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [25/Jan/2020:01:43:10 +0200] "GET /dss-demo-webapp-5.5/webjars/jquery-ui/1.11.1/jquery-ui.min.js HTTP/1.1" 200 238314
